longitude,latitude,significance,magnitudo,year,month,day,hour
-149.6692,61.7302,96.0,2.5,1990,1,1,0
-155.2123333,19.3176667,31.0,1.41,1990,1,1,0
-122.8061667,38.821,19.0,1.11,1990,1,1,0
-118.8463333,37.6643333,15.0,0.98,1990,1,1,0
-118.934,34.546,134.0,2.95,1990,1,1,1
-118.923,34.543,118.0,2.77,1990,1,1,1
-119.04,37.6326667,20.0,1.13,1990,1,1,1
-118.8341667,37.6615,11.0,0.83,1990,1,1,1
-118.8401667,37.6623333,39.0,1.59,1990,1,1,1
-122.0711667,47.1025,74.0,2.2,1990,1,1,1
-119.0408333,37.6321667,64.0,2.04,1990,1,1,1
-120.595,47.5093333,26.0,1.3,1990,1,1,1
-122.796,38.819,12.0,0.89,1990,1,1,1
-121.5148333,36.9313333,21.0,1.16,1990,1,1,1
-118.937,34.545,46.0,1.73,1990,1,1,1
-121.732,36.9903333,35.0,1.51,1990,1,1,2
-122.7931667,38.8278333,14.0,0.96,1990,1,1,2
-121.5103333,36.9335,23.0,1.22,1990,1,1,2
-121.7585,37.7988333,49.0,1.78,1990,1,1,2
26.969,36.323,168.0,3.3,1990,1,1,2
-122.8051667,38.8335,9.0,0.75,1990,1,1,2
7.312,44.384,39.0,1.6,1990,1,1,3
-122.8056667,38.7998333,97.0,2.51,1990,1,1,3
-122.805,38.8023333,22.0,1.2,1990,1,1,3
-121.7646667,36.9858333,6.0,0.65,1990,1,1,3
-122.8038333,38.7986667,12.0,0.89,1990,1,1,3
-121.6743333,36.9335,6.0,0.62,1990,1,1,4
-115.991,33.774,47.0,1.74,1990,1,1,4
-121.4151667,36.882,86.0,2.37,1990,1,1,4
-116.022,33.735,63.0,2.03,1990,1,1,4
-121.7471667,36.9498333,1.0,0.31,1990,1,1,4
-147.78,64.9185,10.0,0.8,1990,1,1,4
-118.8398333,37.6623333,10.0,0.81,1990,1,1,4
-156.0226667,20.8378333,94.0,2.47,1990,1,1,4
-155.2615,19.4156667,50.0,1.81,1990,1,1,4
